,support,itemsets
56,0.265,"frozenset({'NO_car', 'YES_current_act', 'YES_save_act'})"
47,0.2633333333333333,"frozenset({'NO_car', 'NO_mortgage', 'YES_current_act'})"
162,0.2633333333333333,"frozenset({'NO_mortgage', 'YES_current_act', 'NO_pep'})"
133,0.2633333333333333,"frozenset({'middle-aged', 'YES_current_act'})"
210,0.2633333333333333,"frozenset({'less than one child', 'medium'})"
188,0.2633333333333333,"frozenset({'YES_car', 'NO_pep'})"
166,0.26,"frozenset({'less than one child', 'YES_married', 'NO_pep'})"
107,0.26,"frozenset({'YES_pep', 'less than one child', 'YES_current_act'})"
172,0.26,"frozenset({'MALE', 'NO_pep'})"
104,0.25666666666666665,"frozenset({'YES_pep', 'YES_married'})"
212,0.25666666666666665,"frozenset({'YES_mortgage', 'YES_current_act'})"
225,0.255,"frozenset({'youth', 'YES_current_act'})"
67,0.255,"frozenset({'less than one child', 'FEMALE', 'YES_current_act'})"
59,0.255,"frozenset({'NO_car', 'FEMALE'})"
131,0.25333333333333335,"frozenset({'less than one child', 'middle-aged'})"
50,0.25166666666666665,"frozenset({'NO_car', 'YES_married', 'YES_current_act'})"
175,0.25166666666666665,"frozenset({'MALE', 'NO_car'})"
219,0.25166666666666665,"frozenset({'elder people', 'YES_save_act'})"
214,0.25,"frozenset({'less than one child', 'YES_mortgage'})"
189,0.24833333333333332,"frozenset({'MALE', 'YES_car'})"
87,0.24833333333333332,"frozenset({'MALE', 'low'})"
208,0.24666666666666667,"frozenset({'NO_mortgage', 'medium'})"
204,0.24666666666666667,"frozenset({'YES_married', 'medium'})"
179,0.245,"frozenset({'MALE', 'less than one child', 'YES_current_act'})"
177,0.245,"frozenset({'MALE', 'YES_married', 'YES_current_act'})"
193,0.245,"frozenset({'YES_car', 'FEMALE'})"
71,0.24333333333333335,"frozenset({'FEMALE', 'YES_married', 'YES_current_act'})"
167,0.24333333333333335,"frozenset({'less than one child', 'YES_save_act', 'NO_pep'})"
122,0.24333333333333335,"frozenset({'NO_pep', 'INNER_CITY'})"
10,0.24166666666666667,frozenset({'NO_current_act'})
168,0.24,"frozenset({'less than one child', 'YES_current_act', 'NO_pep'})"
94,0.24,"frozenset({'low', 'YES_married', 'YES_current_act'})"
105,0.24,"frozenset({'YES_pep', 'MALE'})"
195,0.24,"frozenset({'YES_car', 'YES_married', 'YES_save_act'})"
220,0.24,"frozenset({'elder people', 'YES_current_act'})"
136,0.24,"frozenset({'middle-aged', 'YES_save_act'})"
215,0.24,"frozenset({'YES_mortgage', 'YES_save_act'})"
88,0.23833333333333334,"frozenset({'less than one child', 'low', 'YES_current_act'})"
109,0.23833333333333334,"frozenset({'YES_pep', 'NO_mortgage', 'YES_current_act'})"
198,0.23833333333333334,"frozenset({'YES_car', 'NO_mortgage', 'YES_current_act'})"
91,0.23833333333333334,"frozenset({'low', 'NO_mortgage', 'YES_current_act'})"
194,0.23666666666666666,"frozenset({'YES_car', 'YES_married', 'YES_current_act'})"
182,0.23666666666666666,"frozenset({'MALE', 'NO_mortgage', 'YES_current_act'})"
38,0.23666666666666666,"frozenset({'NO_mortgage', 'YES_married', 'YES_current_act', 'YES_save_act'})"
163,0.23666666666666666,"frozenset({'NO_mortgage', 'YES_save_act', 'NO_pep'})"
200,0.235,"frozenset({'YES_car', 'less than one child', 'YES_current_act'})"
199,0.235,"frozenset({'YES_car', 'NO_mortgage', 'YES_save_act'})"
134,0.23333333333333334,"frozenset({'YES_married', 'middle-aged'})"
51,0.23333333333333334,"frozenset({'less than one child', 'NO_car', 'YES_married'})"
110,0.23333333333333334,"frozenset({'YES_pep', 'YES_current_act', 'YES_save_act'})"
178,0.23333333333333334,"frozenset({'MALE', 'YES_married', 'YES_save_act'})"
115,0.23166666666666666,"frozenset({'NO_car', 'INNER_CITY'})"
125,0.23166666666666666,"frozenset({'less than one child', 'YES_current_act', 'INNER_CITY'})"
230,0.23,"frozenset({'low', 'youth', 'YES_current_act'})"
65,0.23,"frozenset({'FEMALE', 'NO_mortgage', 'YES_save_act'})"
72,0.23,"frozenset({'FEMALE', 'YES_married', 'NO_mortgage'})"
132,0.23,"frozenset({'middle-aged', 'NO_mortgage'})"
106,0.23,"frozenset({'YES_pep', 'YES_car'})"
124,0.23,"frozenset({'MALE', 'INNER_CITY'})"
141,0.22833333333333333,"frozenset({'NO_married', 'YES_save_act'})"
73,0.22833333333333333,"frozenset({'FEMALE', 'YES_married', 'YES_save_act'})"
126,0.22666666666666666,"frozenset({'NO_mortgage', 'YES_current_act', 'INNER_CITY'})"
81,0.22666666666666666,"frozenset({'low', 'FEMALE'})"
180,0.22666666666666666,"frozenset({'MALE', 'less than one child', 'YES_married'})"
100,0.22666666666666666,"frozenset({'YES_pep', 'NO_car'})"
116,0.22666666666666666,"frozenset({'low', 'INNER_CITY'})"
144,0.22666666666666666,"frozenset({'NO_save_act', 'YES_current_act'})"
127,0.22666666666666666,"frozenset({'YES_married', 'YES_current_act', 'INNER_CITY'})"
129,0.22666666666666666,"frozenset({'YES_current_act', 'YES_save_act', 'INNER_CITY'})"
181,0.225,"frozenset({'MALE', 'less than one child', 'YES_save_act'})"
213,0.225,"frozenset({'YES_mortgage', 'YES_married'})"
55,0.225,"frozenset({'less than one child', 'NO_car', 'YES_save_act'})"
151,0.225,"frozenset({'less than one child', 'YES_married', 'YES_current_act', 'YES_save_act'})"
22,0.22333333333333333,frozenset({'two children'})
34,0.22333333333333333,"frozenset({'less than one child', 'NO_mortgage', 'YES_current_act', 'YES_save_act'})"
68,0.22333333333333333,"frozenset({'less than one child', 'FEMALE', 'YES_save_act'})"
201,0.22333333333333333,"frozenset({'YES_car', 'less than one child', 'YES_save_act'})"
74,0.22166666666666668,"frozenset({'less than one child', 'FEMALE', 'YES_married'})"
33,0.22166666666666668,"frozenset({'less than one child', 'NO_mortgage', 'YES_married', 'YES_current_act'})"
48,0.22166666666666668,"frozenset({'NO_car', 'YES_married', 'NO_mortgage'})"
52,0.22166666666666668,"frozenset({'NO_car', 'YES_married', 'YES_save_act'})"
92,0.22166666666666668,"frozenset({'low', 'YES_married', 'NO_mortgage'})"
89,0.22166666666666668,"frozenset({'less than one child', 'low', 'YES_married'})"
97,0.22,"frozenset({'low', 'YES_current_act', 'YES_save_act'})"
183,0.22,"frozenset({'MALE', 'NO_mortgage', 'YES_save_act'})"
95,0.22,"frozenset({'low', 'YES_current_act', 'NO_pep'})"
46,0.21833333333333332,"frozenset({'less than one child', 'NO_car', 'NO_mortgage'})"
117,0.21833333333333332,"frozenset({'FEMALE', 'INNER_CITY'})"
137,0.21666666666666667,"frozenset({'NO_married', 'NO_mortgage'})"
123,0.21666666666666667,"frozenset({'YES_car', 'INNER_CITY'})"
101,0.21666666666666667,"frozenset({'YES_pep', 'FEMALE'})"
160,0.21666666666666667,"frozenset({'YES_married', 'YES_current_act', 'YES_save_act', 'NO_pep'})"
66,0.21666666666666667,"frozenset({'less than one child', 'FEMALE', 'NO_mortgage'})"
142,0.215,"frozenset({'less than one child', 'NO_save_act'})"
49,0.215,"frozenset({'NO_car', 'NO_mortgage', 'YES_save_act'})"
202,0.215,"frozenset({'YES_car', 'less than one child', 'YES_married'})"
205,0.215,"frozenset({'YES_car', 'medium'})"
164,0.215,"frozenset({'NO_mortgage', 'YES_married', 'YES_current_act', 'NO_pep'})"
138,0.215,"frozenset({'less than one child', 'NO_married'})"
111,0.21333333333333335,"frozenset({'YES_pep', 'NO_mortgage', 'YES_save_act'})"
196,0.21333333333333335,"frozenset({'YES_car', 'YES_married', 'NO_mortgage'})"
226,0.21333333333333335,"frozenset({'youth', 'YES_married'})"
222,0.21333333333333335,"frozenset({'elder people', 'YES_married'})"
221,0.21333333333333335,"frozenset({'elder people', 'NO_mortgage'})"
96,0.21333333333333335,"frozenset({'low', 'YES_married', 'NO_pep'})"
217,0.21333333333333335,"frozenset({'TOWN', 'YES_save_act'})"
108,0.21333333333333335,"frozenset({'YES_pep', 'less than one child', 'NO_mortgage'})"
216,0.21333333333333335,"frozenset({'TOWN', 'YES_current_act'})"
75,0.21333333333333335,"frozenset({'FEMALE', 'YES_current_act', 'NO_pep'})"
76,0.21166666666666667,"frozenset({'FEMALE', 'YES_married', 'NO_pep'})"
53,0.21,"frozenset({'NO_car', 'YES_married', 'NO_pep'})"
128,0.20833333333333334,"frozenset({'less than one child', 'YES_married', 'INNER_CITY'})"
229,0.20833333333333334,"frozenset({'less than one child', 'youth'})"
54,0.20833333333333334,"frozenset({'NO_car', 'YES_current_act', 'NO_pep'})"
227,0.20833333333333334,"frozenset({'youth', 'NO_mortgage'})"
228,0.20666666666666667,"frozenset({'youth', 'NO_pep'})"
206,0.20666666666666667,"frozenset({'medium', 'NO_pep'})"
211,0.20666666666666667,"frozenset({'medium', 'YES_current_act', 'YES_save_act'})"
135,0.205,"frozenset({'middle-aged', 'medium'})"
86,0.205,"frozenset({'YES_car', 'low'})"
209,0.205,"frozenset({'FEMALE', 'medium'})"
118,0.205,"frozenset({'YES_pep', 'INNER_CITY'})"
112,0.205,"frozenset({'YES_pep', 'less than one child', 'YES_save_act'})"
184,0.205,"frozenset({'MALE', 'YES_married', 'NO_mortgage'})"
77,0.20333333333333334,"frozenset({'FEMALE', 'YES_save_act', 'NO_pep'})"
93,0.20333333333333334,"frozenset({'NO_car', 'low', 'YES_current_act'})"
90,0.20166666666666666,"frozenset({'less than one child', 'low', 'NO_mortgage'})"
223,0.20166666666666666,"frozenset({'less than one child', 'elder people'})"
143,0.20166666666666666,"frozenset({'NO_save_act', 'NO_mortgage'})"
139,0.2,"frozenset({'YES_pep', 'NO_married'})"
165,0.2,"frozenset({'YES_married', 'NO_mortgage', 'YES_save_act', 'NO_pep'})"
169,0.2,"frozenset({'less than one child', 'NO_mortgage', 'NO_pep'})"
130,0.2,"frozenset({'YES_married', 'YES_save_act', 'INNER_CITY'})"
69,0.2,"frozenset({'NO_car', 'FEMALE', 'YES_current_act'})"
